time_sec,ecg
0.0,-173.11012
0.002,-192.73657
0.004,-194.23892
0.006,-183.31662
0.008,-168.60725
0.01,-157.66638
0.012,-154.4073
0.014,-158.05554
0.016,-164.60472
0.018,-169.28568
0.02,-169.3548
0.022,-164.86021
0.024,-158.10057
0.026,-151.86327
0.028,-148.19395
0.03,-147.3429
0.032,-148.09421
0.034,-148.59193
0.036,-147.80898
0.038,-145.71555
0.04,-143.09103
0.042,-140.6743
0.044,-139.03456
0.046,-138.02826
0.048,-137.0872
0.05,-135.46536
0.052,-133.14857
0.054,-130.50752
0.056,-128.08148
0.058,-125.97163
0.06,-124.28254
0.062,-122.75287
0.064,-121.07703
0.066,-118.878235
0.068,-116.523415
0.07,-114.47242
0.072,-113.07193
0.074,-112.01767
0.076,-111.17817
0.078,-110.23883
0.08,-109.06939
0.082,-107.43903
0.084,-106.29257
0.086,-106.24444
0.088,-107.56843
0.09,-109.52193
0.092,-111.78608
0.094,-113.50743
0.096,-114.07257
0.098,-112.98662
0.1,-111.36804
0.102,-110.38152
0.104,-111.070656
0.106,-113.40728
0.108,-117.527145
0.11,-122.59904
0.112,-127.58116
0.114,-131.22417
0.116,-133.839
0.118,-136.00774
0.12,-138.58817
0.122,-141.79123
0.124,-146.33363
0.126,-152.09439
0.128,-158.60089
0.13,-164.82402
0.132,-170.8925
0.134,-176.90424
0.136,-183.11649
0.138,-189.2441
0.14,-195.75406
0.142,-202.60454
0.144,-209.63336
0.146,-216.20834
0.148,-222.74507
0.15,-229.48454
0.152,-236.65054
0.154,-243.81676
0.156,-251.21567
0.158,-258.60736
0.16,-265.669
0.162,-271.65
0.164,-276.85013
0.166,-281.45123
0.168,-285.68173
0.17,-289.2111
0.172,-292.45724
0.174,-295.45447
0.176,-298.1897
0.178,-300.20047
0.18,-302.00885
0.182,-303.91968
0.184,-306.1948
0.186,-308.46664
0.188,-311.06195
0.19,-313.87265
0.192,-316.70148
0.194,-318.86838
0.196,-320.68518
0.198,-322.25455
0.2,-323.70593
0.202,-324.6335
0.204,-325.48962
0.206,-326.34213
0.208,-327.20816
0.21,-327.5831
0.212,-327.92468
0.214,-328.30786
0.216,-328.7091
0.218,-328.47638
0.22,-327.91315
0.222,-326.97018
0.224,-325.7072
0.226,-323.81375
0.228,-322.16965
0.23,-321.2182
0.232,-321.20435
0.234,-321.52872
0.236,-322.41562
0.238,-323.4494
0.24,-324.20624
0.242,-323.88235
0.244,-323.12466
0.246,-322.2773
0.248,-321.70465
0.25,-321.0593
0.252,-320.97247
0.254,-321.2924
0.256,-321.70465
0.258,-321.33246
0.26,-320.69247
0.262,-319.91434
0.264,-319.20306
0.266,-318.17294
0.268,-317.58228
0.27,-317.466
0.272,-317.70212
0.274,-317.52707
0.276,-317.47534
0.278,-317.53864
0.28,-317.70212
0.282,-317.34912
0.284,-317.1317
0.286,-317.0821
0.288,-317.20178
0.29,-316.91714
0.292,-316.96176
0.294,-317.41367
0.296,-318.20242
0.298,-318.52887
0.3,-318.81396
0.302,-318.89398
0.304,-318.70276
0.306,-317.7709
0.308,-317.07306
0.31,-316.98965
0.312,-317.70212
0.314,-318.52597
0.316,-319.8027
0.318,-321.14865
0.32,-322.205
0.322,-322.22583
0.324,-322.01852
0.326,-321.92725
0.328,-322.205
0.33,-322.2846
0.332,-322.6147
0.334,-322.86902
0.336,-322.7053
0.338,-321.39584
0.34,-319.80814
0.342,-318.42526
0.344,-317.70212
0.346,-317.27786
0.348,-317.76663
0.35,-318.89093
0.352,-320.2037
0.354,-320.72046
0.356,-320.96216
0.358,-321.0609
0.36,-321.20435
0.362,-320.916
0.364,-320.87393
0.366,-321.01917
0.368,-321.20435
0.37,-320.73242
0.372,-320.30768
0.374,-320.10135
0.376,-320.2037
0.378,-319.96774
0.38,-319.8986
0.382,-319.8476
0.384,-319.70337
0.386,-318.92365
0.388,-318.44028
0.39,-318.63425
0.392,-319.70337
0.394,-320.94055
0.396,-322.61752
0.398,-324.21497
0.4,-325.20688
0.402,-324.71234
0.404,-323.52682
0.406,-322.15942
0.408,-321.20435
0.41,-320.5296
0.412,-321.00406
0.414,-322.53342
0.416,-324.70657
0.418,-326.40845
0.42,-327.88962
0.422,-328.98846
0.424,-329.70975
0.426,-329.5899
0.428,-329.51123
0.43,-329.69797
0.432,-330.21005
0.434,-330.35184
0.436,-330.64844
0.438,-330.98148
0.44,-331.2107
0.442,-330.63522
0.444,-329.9414
0.446,-329.263
0.448,-328.7091
0.45,-327.7495
0.452,-327.12988
0.454,-326.94507
0.456,-327.20816
0.458,-327.27014
0.46,-327.75873
0.462,-328.6284
0.464,-329.70975
0.466,-330.1444
0.468,-330.39398
0.47,-330.39948
0.472,-330.21005
0.474,-329.39545
0.476,-328.91437
0.478,-329.02682
0.48,-329.70975
0.482,-330.0225
0.484,-330.13144
0.486,-329.59943
0.488,-328.2088
0.49,-325.55554
0.492,-322.9466
0.494,-321.26648
0.496,-321.20435
0.498,-322.4048
0.5,-325.22147
0.502,-328.955
0.504,-332.71167
0.506,-335.1962
0.508,-336.75046
0.51,-337.49243
0.512,-337.71484
0.514,-337.13297
0.516,-336.5753
0.518,-336.10907
0.52,-335.71356
0.522,-334.86804
0.524,-334.435
0.526,-334.68845
0.528,-335.71356
0.53,-336.73453
0.532,-338.0098
0.534,-339.108
0.536,-339.71613
0.538,-339.25964
0.54,-338.77924
0.542,-338.82513
0.544,-339.71613
0.546,-340.75012
0.548,-342.05988
0.55,-342.92877
0.552,-342.71802
0.554,-340.6359
0.556,-337.73038
0.558,-334.82324
0.56,-332.71167
0.562,-331.22827
0.564,-330.88754
0.566,-331.03577
0.568,-330.7104
0.57,-328.4974
0.572,-324.72806
0.574,-319.7161
0.576,-314.1999
0.578,-308.5064
0.58,-304.06732
0.582,-301.3192
0.584,-300.19098
0.586,-299.65457
0.588,-299.82068
0.59,-300.25266
0.592,-300.69128
0.594,-300.54742
0.596,-300.7172
0.598,-301.53268
0.6,-303.19287
0.602,-305.12427
0.604,-307.77908
0.606,-310.8
0.608,-313.69955
0.61,-315.51117
0.612,-316.60132
0.614,-316.94913
0.616,-316.70148
0.618,-315.7653
0.62,-314.9654
0.622,-314.4507
0.624,-314.1999
0.626,-313.936
0.628,-313.9248
0.63,-313.9174
0.632,-313.69955
0.634,-313.07965
0.636,-312.53662
0.638,-312.08887
0.64,-311.6983
0.642,-310.98892
0.644,-310.50723
0.646,-310.25888
0.648,-310.19733
0.65,-309.3834
0.652,-308.879
0.654,-309.08237
0.656,-310.19733
0.658,-310.97397
0.66,-311.95175
0.662,-312.78934
0.664,-313.19925
0.666,-312.2596
0.668,-310.96176
0.67,-309.7157
0.672,-308.69638
0.674,-307.02167
0.676,-304.80447
0.678,-301.48447
0.68,-296.68875
0.682,-289.7957
0.684,-281.4198
0.686,-271.14713
0.688,-257.6639
0.69,-238.37347
0.692,-211.77777
0.694,-176.9489
0.696,-135.08594
0.698,-89.30363
0.7,-45.361034
0.702,-8.255782
0.704,19.012094
0.706,36.716057
0.708,46.184704
0.71,49.476433
0.712,46.529602
0.714,34.19399
0.716,5.243302
0.718,-47.4907
0.72,-128.08148
0.722,-234.08934
0.724,-357.03476
0.726,-482.40594
0.728,-593.8778
0.73,-677.3012
0.732,-725.5588
0.734,-738.2237
0.736,-720.9586
0.738,-682.43787
0.74,-632.77625
0.742,-579.7362
0.744,-528.3361
0.746,-480.74982
0.748,-438.6142
0.75,-402.28134
0.752,-371.73648
0.754,-346.25592
0.756,-325.7096
0.758,-309.0737
0.76,-295.18777
0.762,-282.75317
0.764,-271.92426
0.766,-262.8058
0.768,-255.66264
0.77,-250.24663
0.772,-246.79332
0.774,-244.70158
0.776,-243.15468
0.778,-241.1449
0.78,-238.5928
0.782,-235.51297
0.784,-232.14769
0.786,-228.6166
0.788,-225.29642
0.79,-222.43153
0.792,-220.14005
0.794,-218.23537
0.796,-216.66724
0.798,-215.34236
0.8,-214.13623
0.802,-212.64015
0.804,-211.0296
0.806,-209.32166
0.808,-207.63208
0.81,-205.62434
0.812,-204.30809
0.814,-203.5805
0.816,-203.12923
0.818,-202.04092
0.82,-201.05139
0.822,-199.82896
0.824,-198.12604
0.826,-195.51924
0.828,-193.07396
0.83,-191.07227
0.832,-189.62064
0.834,-188.27434
0.836,-187.34718
0.838,-186.4319
0.84,-185.11777
0.842,-182.90149
0.844,-180.32408
0.846,-177.63702
0.848,-175.1114
0.85,-172.67159
0.852,-170.74791
0.854,-169.16147
0.856,-167.60663
0.858,-165.57869
0.86,-163.35762
0.862,-160.98691
0.864,-158.60089
0.866,-156.1527
0.868,-154.15955
0.87,-152.66498
0.872,-151.59644
0.874,-150.63614
0.876,-150.00452
0.878,-149.55423
0.88,-149.09485
0.882,-148.22878
0.884,-147.0757
0.886,-145.42024
0.888,-143.09103
0.89,-139.87384
0.892,-136.25008
0.894,-132.52661
0.896,-129.08212
0.898,-126.11179
0.9,-124.178215
0.902,-123.27123
0.904,-123.0783
0.906,-122.90541
0.908,-122.471596
0.91,-121.28078
0.912,-119.07575
0.914,-115.767746
0.916,-112.030304
0.918,-108.341515
0.92,-105.06684
0.922,-102.15584
0.924,-99.79578
0.926,-97.70034
0.928,-95.56079
0.93,-93.03585
0.932,-90.48523
0.934,-88.107185
0.936,-86.05474
0.938,-84.10716
0.94,-82.352486
0.942,-80.448364
0.944,-78.04965
0.946,-74.76945
0.948,-71.05428
0.95,-67.31628
0.952,-64.04074
0.954,-61.348507
0.956,-59.714752
0.958,-59.052593
0.96,-59.037556
0.962,-58.957233
0.964,-58.820587
0.966,-58.50802
0.968,-58.036922
0.97,-57.17969
0.972,-56.369328
0.974,-55.67204
0.976,-55.03501
0.978,-54.006237
0.98,-52.87304
0.982,-51.786644
0.984,-51.032463
0.986,-50.61758
0.988,-51.214684
0.99,-53.048786
0.992,-56.03565
0.994,-59.404896
0.996,-62.91444
0.998,-66.0638
1.0,-68.5436
1.002,-69.99524
1.004,-71.12084
1.006,-72.592026
1.008,-75.047745
1.01,-78.494896
1.012,-83.227646
1.014,-88.9329
1.016,-95.06047
1.018,-100.69696
1.02,-105.84301
1.022,-110.64885
1.024,-115.573524
1.026,-120.83796
1.028,-127.19438
1.03,-134.85732
1.032,-143.59135
1.034,-152.41797
1.036,-160.8047
1.038,-168.13574
1.04,-174.11076
1.042,-178.49397
1.044,-182.04344
1.046,-185.52748
1.048,-189.62064
1.05,-194.31535
1.052,-199.76697
1.054,-205.57463
1.056,-211.13431
1.058,-215.55856
1.06,-218.83247
1.062,-221.17719
1.064,-223.14195
1.066,-225.06685
1.068,-227.71378
1.07,-231.32082
1.072,-235.64992
1.074,-239.73175
1.076,-243.00429
1.078,-244.88156
1.08,-245.15596
1.082,-243.76102
1.084,-241.62915
1.086,-239.67343
1.088,-238.65182
1.09,-238.57283
1.092,-239.56084
1.094,-241.14159
1.096,-242.65437
1.098,-243.17702
1.1,-242.75085
1.102,-241.58028
1.104,-240.15277
1.106,-238.6734
1.108,-237.91592
1.11,-238.11264
1.112,-239.15215
1.114,-240.27812
1.116,-241.37407
1.118,-242.0741
1.12,-242.15405
1.122,-241.18509
1.124,-239.69443
1.126,-237.94081
1.128,-236.15022
1.13,-234.07242
1.132,-232.19528
1.134,-230.56113
1.136,-229.14577
1.138,-227.50504
1.14,-226.08635
1.142,-224.95381
1.144,-224.1426
1.146,-223.24553
1.148,-222.7079
1.15,-222.52327
1.152,-222.64163
1.154,-222.59479
1.156,-222.83728
1.158,-223.37502
1.16,-224.1426
1.162,-224.59761
1.164,-225.07077
1.166,-225.44597
1.168,-225.64354
1.17,-225.29553
1.172,-225.03407
1.174,-225.09892
1.176,-225.64354
1.178,-226.27075
1.18,-227.31863
1.182,-228.54814
1.184,-229.64609
1.186,-229.963
1.188,-229.85368
1.19,-229.37355
1.192,-228.64546
1.194,-227.44176
1.196,-226.38248
1.198,-225.60144
1.2,-225.14323
1.202,-224.61612
1.204,-224.4687
1.206,-224.67667
1.208,-225.14323
1.21,-225.33275
1.212,-225.56082
1.214,-225.70554
1.216,-225.64354
1.218,-224.93117
1.22,-224.07324
1.222,-223.24525
1.224,-222.64163
1.226,-222.04552
1.228,-221.96066
1.23,-222.27771
1.232,-222.64163
1.234,-222.19049
1.236,-220.92328
1.238,-218.67432
1.24,-215.63718
1.242,-212.02344
1.244,-209.0764
1.246,-207.5225
1.248,-207.63208
1.25,-208.71484
1.252,-210.38116
1.254,-211.62819
1.256,-211.63463
1.258,-209.74742
1.26,-206.7571
1.262,-203.45435
1.264,-200.62762
1.266,-198.36407
1.268,-197.09932
1.27,-196.49344
1.272,-196.12477
1.274,-195.45909
1.276,-195.13776
1.278,-195.5961
1.28,-197.1254
1.282,-199.24854
1.284,-201.82602
1.286,-204.03456
1.288,-205.1305
1.29,-204.4659
1.292,-202.81523
1.294,-200.95168
1.296,-199.627
1.298,-198.8361
1.3,-198.82333
1.302,-198.98698
1.304,-198.62636
1.306,-197.01306
1.308,-194.72975
1.31,-192.3786
1.312,-190.62126
1.314,-189.48448
1.316,-189.29814
1.318,-189.56389
1.32,-189.62064
1.322,-188.68979
1.324,-187.20605
1.326,-185.64056
1.328,-184.61745
1.33,-184.2908
1.332,-185.13728
1.334,-186.80563
1.336,-188.62
1.338,-189.5664
1.34,-189.60736
1.342,-188.70131
1.344,-187.11903
1.346,-184.98912
1.348,-183.17197
1.35,-182.01138
1.352,-181.61554
1.354,-181.5774
1.356,-182.14726
1.358,-183.20206
1.36,-184.61745
1.362,-185.93051
1.364,-187.41579
1.366,-188.9072
1.368,-190.12094
1.37,-190.36601
1.372,-189.74785
1.374,-188.1377
1.376,-185.61809
1.378,-182.1957
1.38,-178.83131
1.382,-176.15607
1.384,-174.61108
1.386,-173.96655
1.388,-174.37141
1.39,-175.30789
1.392,-176.11203
1.394,-175.86314
1.396,-174.64369
1.398,-172.47926
1.4,-169.6079
1.402,-166.04301
1.404,-162.54613
1.406,-159.47397
1.408,-157.09995
1.41,-155.30872
1.412,-154.66821
1.414,-155.29338
1.416,-157.09995
1.418,-159.45761
1.42,-162.32677
1.422,-165.30403
1.424,-168.10695
1.426,-170.36559
1.428,-172.63571
1.43,-175.18513
1.432,-178.11331
1.434,-180.96173
1.436,-183.60013
1.438,-185.46382
1.44,-186.11841
1.442,-185.38788
1.444,-183.80827
1.446,-181.88046
1.448,-180.11458
1.45,-178.9009
1.452,-178.44969
1.454,-178.47563
1.456,-178.61363
1.458,-178.75323
1.46,-179.06624
1.462,-179.65709
1.464,-180.6149
1.466,-181.65355
1.468,-183.014
1.47,-184.4641
1.472,-185.61809
1.474,-185.32623
